Club,Attendance,League,Year
Manchester United,75335,EPL,2014
Arsenal,59992,EPL,2014
Newcastle United,50359,EPL,2014
Manchester City,45366,EPL,2014
Liverpool,44659,EPL,2014
Sunderland,43157,EPL,2014
Chelsea,41546,EPL,2014
Everton,38406,EPL,2014
Tottenham Hotspur,35728,EPL,2014
West Ham United,34871,EPL,2014
Aston Villa,34133,EPL,2014
Leicester City,31693,EPL,2014
Southampton,30652,EPL,2014
Stoke City,27081,EPL,2014
West Bromwich Albion,25064,EPL,2014
Crystal Palace,24421,EPL,2014
Hull City,23557,EPL,2014
Swansea City,20555,EPL,2014
Burnley,19025,EPL,2014
Queens Park Rangers,17809,EPL,2014
Manchester United,75207,EPL,2013
Arsenal,60013,EPL,2013
Newcastle United,50395,EPL,2013
Manchester City,47080,EPL,2013
Liverpool,44671,EPL,2013
Chelsea,41482,EPL,2013
Sunderland,41090,EPL,2013
Everton,37732,EPL,2013
Aston Villa,36081,EPL,2013
Tottenham Hotspur,35808,EPL,2013
West Ham United,34197,EPL,2013
Southampton,30212,EPL,2013
Cardiff City,27430,EPL,2013
Norwich City,26805,EPL,2013
Stoke City,26137,EPL,2013
West Bromwich Albion,25194,EPL,2013
Fulham,24977,EPL,2013
Hull City,24117,EPL,2013
Crystal Palace,24114,EPL,2013
Swansea City,20407,EPL,2013
Manchester United,75530,EPL,2012
Arsenal,60079,EPL,2012
Newcastle United,50517,EPL,2012
Manchester City,46974,EPL,2012
Liverpool,44749,EPL,2012
Chelsea,41462,EPL,2012
Sunderland,40544,EPL,2012
Everton,36356,EPL,2012
Tottenham Hotspur,36030,EPL,2012
Aston Villa,35060,EPL,2012
West Ham United,34720,EPL,2012
Southampton,30874,EPL,2012
Stoke City,26722,EPL,2012
Norwich City,26566,EPL,2012
Fulham,25394,EPL,2012
West Bromwich Albion,25327,EPL,2012
Reading,23862,EPL,2012
Swansea City,20370,EPL,2012
Wigan Athletic,19359,EPL,2012
Queens Park Rangers,17779,EPL,2012
Manchester United,75387,EPL,2011
Arsenal,60000,EPL,2011
Newcastle United,49936,EPL,2011
Manchester City,47016,EPL,2011
Liverpool,44253,EPL,2011
Chelsea,41478,EPL,2011
Sunderland,39095,EPL,2011
Tottenham Hotspur,36026,EPL,2011
Aston Villa,33836,EPL,2011
Everton,33228,EPL,2011
Stoke City,27227,EPL,2011
Norwich City,26606,EPL,2011
Wolverhampton Wanderers,25672,EPL,2011
Fulham,25293,EPL,2011
West Bromwich Albion,24798,EPL,2011
Bolton Wanderers,23673,EPL,2011
Blackburn Rovers,22551,EPL,2011
