Club,League,Stadium,Add1,Add2,Add3,addStr,lat,lon
1. FC Kaiserslautern,Bundlesliga,Fritz-Walter-Stadion,Kaiserslautern,Rhineland-Palatinate,Germany,"Fritz-Walter-Stadion,Kaiserslautern, Rhineland-Palatinate,Germany",49.4341714,7.7768069
1. FC Koln,Bundlesliga,RheinEnergieStadion,Cologne,North Rhine-Westphalia,Germany,"RheinEnergieStadion,Cologne, North Rhine-Westphalia,Germany",50.9334609,6.8751545
1. FC Nurnberg,Bundlesliga,Frankenstadion,Nuremberg,Bavaria,Germany,"Frankenstadion,Nuremberg, Bavaria,Germany",49.431916,11.1272747
1. FSV Mainz 05,Bundlesliga,Coface Arena,Mainz,Rhineland-Palatinate,Germany,"Coface Arena,Mainz, Rhineland-Palatinate,Germany",49.985793,8.223652
Arminia Bielefeld,Bundlesliga,SchucoArena,Melanchthonstrabe 31a,33615 Bielefeld,Germany,"SchucoArena,Melanchthonstrabe 31a,33615 Bielefeld,Germany",52.0318722,8.5167617
Bayer Leverkusen,Bundlesliga,BayArena,Leverkusen,North Rhine-Westphalia,Germany,"BayArena,Leverkusen, North Rhine-Westphalia,Germany",51.0382091,7.0022566
Bayern Munich,Bundlesliga,Allianz Arena,Munich,Bavaria,Germany,"Allianz Arena,Munich, Bavaria,Germany",48.2187997,11.6247072
Borussia Dortmund,Bundlesliga,Signal Iduna Park,Dortmund,North Rhine-Westphalia,Germany,"Signal Iduna Park,Dortmund, North Rhine-Westphalia,Germany",51.4925888,7.4518574
Borussia Monchengladbach,Bundlesliga,Stadion im Borussia-Park,Hennes-Weisweiler-Allee 1,41179 Monchengladbach,Germany,"Stadion im Borussia-Park,Hennes-Weisweiler-Allee 1,41179 Monchengladbach,Germany",51.1745698,6.3855055
Eintracht Braunschweig,Bundlesliga,Eintracht-Stadion,Braunschweig,Lower Saxony,Germany,"Eintracht-Stadion,Braunschweig, Lower Saxony,Germany",52.2901273,10.5215818
Eintracht Frankfurt,Bundlesliga,Commerzbank-Arena,Frankfurt,Hesse,Germany,"Commerzbank-Arena,Frankfurt, Hesse,Germany",50.0695549,8.646306
Energie Cottbus,Bundlesliga,Stadion der Freundschaft,Cottbus,Brandenburg,Germany,"Stadion der Freundschaft,Cottbus, Brandenburg,Germany",51.7520204,14.3450432
FC Augsburg,Bundlesliga,Impuls Arena,Augsburg,Bavaria,Germany,"Impuls Arena,Augsburg, Bavaria,Germany",48.3233115,10.8856287
FC Schalke 04,Bundlesliga,Veltins-Arena,Gelsenkirchen,North Rhine-Westphalia,Germany,"Veltins-Arena,Gelsenkirchen, North Rhine-Westphalia,Germany",51.5546309,7.0675262
FC St Pauli,Bundlesliga,Millerntor-Stadion,Hamburg,Hamburg,Germany,"Millerntor-Stadion,Hamburg, Hamburg,Germany",53.554612,9.9676895
Fortuna Dusseldorf,Bundlesliga,Esprit Arena,Arena-Strabe 1,40474 Dusseldorf,Germany,"Esprit Arena,Arena-Strabe 1,40474 Dusseldorf,Germany",51.2615824,6.7331902
Hamburger SV,Bundlesliga,Imtech Arena,Hamburg,Hamburg,Germany,"Imtech Arena,Hamburg, Hamburg,Germany",53.5510846,9.9936818
Hannover 96,Bundlesliga,HDI-Arena,Hannover,Lower Saxony,Germany,"HDI-Arena,Hannover, Lower Saxony,Germany",52.3600211,9.7311938
Hansa Rostock,Bundlesliga,DKB-Arena,Rostock,Mecklenburg-Vorpommern,Germany,"DKB-Arena,Rostock, Mecklenburg-Vorpommern,Germany",54.0857686,12.0959291
Hertha BSC,Bundlesliga,Olympiastadion Berlin,Berlin,Berlin,Germany,"Olympiastadion Berlin,Berlin, Berlin,Germany",52.5146971,13.2394986
Karlsruhe SC,Bundlesliga,Wildparkstadion,Adenauerring 17,76131 Karlsruhe,Germany,"Wildparkstadion,Adenauerring 17,76131 Karlsruhe,Germany",49.019303,8.4123139
MSV Duisburg,Bundlesliga,MSV Arena,Duisburg,North Rhine-Westphalia,Germany,"MSV Arena,Duisburg, North Rhine-Westphalia,Germany",51.4344079,6.7623293
SC Freiburg,Bundlesliga,Dreisamstadion,Schwarzwaldstrabe 193,79117 Freiburg im Breisgau,Germany,"Dreisamstadion,Schwarzwaldstrabe 193,79117 Freiburg im Breisgau,Germany",47.9581621,7.8949218
SC Paderborn 07,Bundlesliga,Hans-Walter-Wild-Stadion,Bayreuth,Bavaria,Germany,"Hans-Walter-Wild-Stadion,Bayreuth, Bavaria,Germany",49.9456399,11.5713346
SpVgg Greuther Furth,Bundlesliga,Paul Greifzu Stadium,Dessau,Saxony-Anhalt,Germany,"Paul Greifzu Stadium,Dessau, Saxony-Anhalt,Germany",51.8234249,12.2506843
TSG 1899 Hoffenheim,Bundlesliga,Rhein-Neckar-Arena,Dietmar-Hopp-Strabe 1,74889 Sinsheim,Germany,"Rhein-Neckar-Arena,Dietmar-Hopp-Strabe 1,74889 Sinsheim,Germany",49.2380877,8.8878247
VfB Stuttgart,Bundlesliga,Mercedes-Benz Arena,Mercedesstrabe 87,70372 Stuttgart,Germany,"Mercedes-Benz Arena,Mercedesstrabe 87,70372 Stuttgart,Germany",48.7922577,9.23208
VfL Bochum,Bundlesliga,Ruhrstadion,Bochum,North Rhine-Westphalia,Germany,"Ruhrstadion,Bochum, North Rhine-Westphalia,Germany",51.4899171,7.2365126
VfL Wolfsburg,Bundlesliga,Volkswagen Arena,Wolfsburg,Lower Saxony,Germany,"Volkswagen Arena,Wolfsburg, Lower Saxony,Germany",52.432639,10.803889
Werder Bremen,Bundlesliga,Weserstadion,Bremen,Bremen,Germany,"Weserstadion,Bremen, Bremen,Germany",53.0664328,8.8376052
Arsenal,EPL,Emirates Stadium,,,,"Emirates Stadium,,,",51.5549,-0.108436
Aston Villa,EPL,Villa Park,,,,"Villa Park,,,",52.5092,-1.88508
Barnsley,EPL,Oakwell,,,,"Oakwell,,,",53.5524,-1.46756
Birmingham City,EPL,St Andrews,,,,"St Andrews,,,",52.4756,-1.86824
Blackburn Rovers,EPL,Ewood Park,,,,"Ewood Park,,,",53.7286,-2.48937
Blackpool,EPL,Bloomfield Road,,,,"Bloomfield Road,,,",53.8046,-3.04834
Bolton Wanderers,EPL,Macron Stadium,,,,"Macron Stadium,,,",53.5805,-2.53571
Bradford City,EPL,Valley Parade,,,,"Valley Parade,,,",53.8042,-1.75902
Burnley,EPL,Turf Moor,,,,"Turf Moor,,,",53.7888,-2.23018
Cardiff City,EPL,Cardiff City Stadium,,,,"Cardiff City Stadium,,,",51.4729,-3.20413
Charlton Athletic,EPL,The Valley,,,,"The Valley,,,",51.4865,0.036757
Chelsea,EPL,Stamford Bridge,,,,"Stamford Bridge,,,",51.4816,-0.191034
Coventry City,EPL,Ricoh Arena,,,,"Ricoh Arena,,,",52.4481,-1.49563
